ID_INGRESO,MONTO,FUENTE_DE_INGRESO,ID_COMPROBANTE,ID_PLATAFORMA,ID_MARCA,ID_EPISODIO
1,774.14,PLATAFORMA,,210001,,130001
2,223.47,PLATAFORMA,,210001,,131000
3,946.68,PLATAFORMA,,210001,,131002
4,234.74,PLATAFORMA,,210002,,131009
5,236.28,PLATAFORMA,,210002,,131012
6,771.35,PLATAFORMA,,210002,,131017
7,722.09,PLATAFORMA,,210002,,131024
8,267.62,PLATAFORMA,,210002,,131029
9,880.06,PLATAFORMA,,210001,,131030
10,164.37,PLATAFORMA,,210001,,131033
11,138.01,PLATAFORMA,,210001,,131041
12,231.48,PLATAFORMA,,210003,,131047
13,337.95,PLATAFORMA,,210002,,131051
14,456.28,PLATAFORMA,,210003,,131059
15,256.3,PLATAFORMA,,210001,,131068
16,165.35,PLATAFORMA,,210002,,131070
17,680.22,PLATAFORMA,,210001,,131072
18,926.63,PLATAFORMA,,210001,,131074
19,771.43,PLATAFORMA,,210003,,131077
20,672.71,PLATAFORMA,,210001,,131083
21,121.95,PLATAFORMA,,210001,,131087
22,525.03,PLATAFORMA,,210003,,131090
23,306.59,PLATAFORMA,,210002,,131091
24,268.81,PLATAFORMA,,210002,,131095
25,254.25,PLATAFORMA,,210002,,131099
26,134.82,PLATAFORMA,,210001,,131102
27,345.06,PLATAFORMA,,210001,,131104
28,526.6,PLATAFORMA,,210003,,131112
29,366.81,PLATAFORMA,,210003,,131116
30,759.17,PLATAFORMA,,210001,,131118
31,443.95,PLATAFORMA,,210003,,131126
32,633.01,PLATAFORMA,,210002,,131133
33,509.52,PLATAFORMA,,210002,,131136
34,978.45,PLATAFORMA,,210001,,131137
35,617.7,PLATAFORMA,,210001,,131139
36,407.04,PLATAFORMA,,210002,,131147
37,726.45,PLATAFORMA,,210001,,131159
38,248.78,PLATAFORMA,,210002,,131164
39,293.66,PLATAFORMA,,210003,,131168
40,200.82,PLATAFORMA,,210001,,131173
41,257.24,PLATAFORMA,,210001,,131174
42,754.77,PLATAFORMA,,210001,,131196
43,564.64,PLATAFORMA,,210003,,131201
44,128.51,PLATAFORMA,,210001,,131203
45,755.89,PLATAFORMA,,210003,,131209
46,730.61,PLATAFORMA,,210003,,131214
47,640.63,PLATAFORMA,,210002,,131227
48,873.7,PLATAFORMA,,210003,,131229
49,213.59,PLATAFORMA,,210001,,131230
50,852.63,PLATAFORMA,,210001,,131233
51,841.04,PLATAFORMA,,210003,,131236
52,581.32,PLATAFORMA,,210003,,131241
53,963.15,PLATAFORMA,,210002,,131259
54,510.08,PLATAFORMA,,210002,,131264
55,399.76,PLATAFORMA,,210003,,131266
56,668.8,PLATAFORMA,,210001,,131268
57,972.87,PLATAFORMA,,210001,,131270
58,546.8,PLATAFORMA,,210002,,131278
59,108.55,PLATAFORMA,,210002,,131280
60,716.57,PLATAFORMA,,210002,,131287
61,701.25,PLATAFORMA,,210002,,131288
62,421.05,PLATAFORMA,,210003,,131298
63,292.37,PLATAFORMA,,210001,,131300
64,336.76,PLATAFORMA,,210003,,131303
65,879.67,PLATAFORMA,,210002,,131305
66,533.03,PLATAFORMA,,210001,,131312
67,513.48,PLATAFORMA,,210001,,131315
68,464.78,PLATAFORMA,,210001,,131316
69,353.13,PLATAFORMA,,210003,,131323
70,994.67,PLATAFORMA,,210003,,131326
71,634.8,PLATAFORMA,,210002,,131327
72,933.95,PLATAFORMA,,210001,,131331
73,632.89,PLATAFORMA,,210001,,131336
74,248.98,PLATAFORMA,,210002,,131340
75,505.86,PLATAFORMA,,210002,,131345
76,968.31,PLATAFORMA,,210001,,131346
77,826.26,PLATAFORMA,,210001,,131355
78,484.41,PLATAFORMA,,210001,,131366
79,396.5,PLATAFORMA,,210002,,131368
80,909.16,PLATAFORMA,,210001,,131373
81,127.14,PLATAFORMA,,210002,,131379
82,537.01,PLATAFORMA,,210002,,131386
83,927.96,PLATAFORMA,,210002,,131388
84,376.57,PLATAFORMA,,210003,,131394
85,749.7,PLATAFORMA,,210001,,131402
86,175.82,PLATAFORMA,,210002,,131417
87,451.79,PLATAFORMA,,210003,,131428
88,152.37,PLATAFORMA,,210003,,131431
89,726.29,PLATAFORMA,,210002,,131434
90,338.99,PLATAFORMA,,210002,,131435
91,466.85,PLATAFORMA,,210002,,131437
92,129.26,PLATAFORMA,,210003,,131438
93,745.92,PLATAFORMA,,210001,,131439
94,423.83,PLATAFORMA,,210001,,131443
95,341.89,PLATAFORMA,,210003,,131444
96,758.56,PLATAFORMA,,210001,,131453
97,843.74,PLATAFORMA,,210003,,131454
98,495.34,PLATAFORMA,,210002,,131460
99,868.25,PLATAFORMA,,210001,,131466
100,817.37,PLATAFORMA,,210003,,131471
101,494.43,PLATAFORMA,,210002,,131474
102,545.21,PLATAFORMA,,210002,,131482
103,395.29,PLATAFORMA,,210003,,131488
104,574.75,PLATAFORMA,,210002,,131494
105,313.31,PLATAFORMA,,210003,,131497
106,872.55,PLATAFORMA,,210001,,131499
107,123.25,PLATAFORMA,,210002,,131501
108,671.64,PLATAFORMA,,210002,,131502
109,344.61,PLATAFORMA,,210001,,131509
110,182.91,PLATAFORMA,,210001,,131517
111,519.3,PLATAFORMA,,210003,,131534
112,806.71,PLATAFORMA,,210002,,131538
113,256.95,PLATAFORMA,,210002,,131540
114,290.95,PLATAFORMA,,210002,,131550
115,115.39,PLATAFORMA,,210001,,131555
116,180.7,PLATAFORMA,,210003,,131559
117,627.58,PLATAFORMA,,210003,,131562
118,831.91,PLATAFORMA,,210002,,131563
119,860.64,PLATAFORMA,,210001,,131565
120,802.76,PLATAFORMA,,210001,,131571
121,169.15,PLATAFORMA,,210003,,131572
122,121.03,PLATAFORMA,,210002,,131579
